video_id,subject,full_image_path,prompt
47,a glass into which yellow soda has just been poured,data/Real_Raw/047/FRAMES/frame_0001.jpg,"A first-person view of a glass into which yellow soda has just been poured, generating abundant bubbles. The camera smoothly tilts upward, causing the glass to gradually exit the field of view. The camera then tilts back down, and the glass re-enters the frame, revealing that the foam has completely subsided and the yellow soda sits flat and still in the glass."
48,a clear glass of water,data/Real_Raw/048/FRAMES/frame_0001.jpg,"A first-person view of a clear glass of water on a table with potassium permanganate crystals being added. The camera smoothly pans to the left, causing the glass to gradually exit the field of view. The camera then pans back to the right, and the glass re-enters the frame, revealing that the crystals have sunk and dissolved, turning the water a deep, vivid purple color."
49,a beaker of deep purple potassium permanganate solution,data/Real_Raw/049/FRAMES/frame_0001.jpg,"A first-person view of a beaker of deep purple potassium permanganate solution with vitamin C solution being added. The camera smoothly pans to the left, causing the beaker to gradually exit the field of view. The camera then pans back to the right, and the beaker re-enters the frame, revealing that the purple solution has been completely decolorized and turned into a clear, colorless liquid."
50,a clear glass of water,data/Real_Raw/050/FRAMES/frame_0001.jpg,"A first-person view of a clear glass of water on a table with potassium permanganate crystals being added. The camera smoothly tilts upward, causing the glass to gradually exit the field of view. The camera then tilts back down, and the glass re-enters the frame, revealing that the crystals have sunk and dissolved, turning the water a deep, vivid purple color."
51,a beaker of deep purple potassium permanganate solution,data/Real_Raw/051/FRAMES/frame_0001.jpg,"A first-person view of a beaker of deep purple potassium permanganate solution with vitamin C solution being added. The camera smoothly pans to the right, causing the beaker to gradually exit the field of view. The camera then pans back to the left, and the beaker re-enters the frame, revealing that the purple solution has been completely decolorized and turned into a clear, colorless liquid."
52,a beaker of deep purple potassium permanganate solution,data/Real_Raw/052/FRAMES/frame_0001.jpg,"A first-person view of a beaker of deep purple potassium permanganate solution with vitamin C solution being added. The camera smoothly tilts upward, causing the beaker to gradually exit the field of view. The camera then tilts back down, and the beaker re-enters the frame, revealing that the purple solution has been completely decolorized and turned into a clear, colorless liquid."
53,a test tube filled,data/Real_Raw/053/FRAMES/frame_0001.jpg,"A first-person view of a test tube filled with cola on a lab stand, with salt being added. The camera smoothly tilts upward, causing the test tube to gradually exit the field of view. The camera then tilts back down, and the test tube re-enters the frame, revealing that the cola is erupting with a large surge of foam and bubbles."
55,a glass of hot water,data/Real_Raw/055/FRAMES/frame_0001.jpg,"A first-person view of a glass of hot water with a sugar cube being placed inside. The camera smoothly pans to the right, causing the glass to gradually exit the field of view. The camera then pans back to the left, and the glass re-enters the frame, revealing that the sugar cube has dissolved completely, leaving only clear hot water in the glass."
56,a glass of hot water,data/Real_Raw/056/FRAMES/frame_0001.jpg,"A first-person view of a glass of hot water with a sugar cube being placed inside. The camera smoothly tilts upward, causing the glass to gradually exit the field of view. The camera then tilts back down, and the glass re-enters the frame, revealing that the sugar cube has dissolved completely, leaving only clear hot water in the glass."
57,a glass of warm water,data/Real_Raw/057/FRAMES/frame_0001.jpg,"A first-person view of a glass of warm water with a medicine capsule being placed inside. The camera smoothly pans to the left, causing the glass to gradually exit the field of view. The camera then pans back to the right, and the glass re-enters the frame, revealing that the capsule has sunk and partially dissolved, its outer shell breaking apart in the water."
58,a glass of warm water,data/Real_Raw/058/FRAMES/frame_0001.jpg,"A first-person view of a glass of warm water with a medicine capsule being placed inside. The camera smoothly tilts upward, causing the glass to gradually exit the field of view. The camera then tilts back down, and the glass re-enters the frame, revealing that the capsule has sunk and partially dissolved, its outer shell breaking apart in the water."
60,a measuring cup of warm water,data/Real_Raw/060/FRAMES/frame_0001.jpg,"A first-person view of a measuring cup of warm water with honey being drizzled in. The camera smoothly pans to the left, causing the measuring cup to gradually exit the field of view. The camera then pans back to the right, and the measuring cup re-enters the frame, revealing that the honey has dissolved into the warm water, blending smoothly throughout the liquid."
61,a measuring cup of warm water,data/Real_Raw/061/FRAMES/frame_0001.jpg,"A first-person view of a measuring cup of warm water with honey being drizzled in. The camera smoothly pans to the right, causing the measuring cup to gradually exit the field of view. The camera then pans back to the left, and the measuring cup re-enters the frame, revealing that the honey has dissolved into the warm water, blending smoothly throughout the liquid."
62,a measuring cup of warm water,data/Real_Raw/062/FRAMES/frame_0001.jpg,"A first-person view of a measuring cup of warm water with honey being drizzled in. The camera smoothly tilts upward, causing the measuring cup to gradually exit the field of view. The camera then tilts back down, and the measuring cup re-enters the frame, revealing that the honey has dissolved into the warm water, blending smoothly throughout the liquid."
63,a clear measuring cup into which Sprite has just been poured,data/Real_Raw/063/FRAMES/frame_0001.jpg,"A first-person view of a clear measuring cup into which Sprite has just been poured, generating abundant bubbles. The camera smoothly pans to the left, causing the cup to gradually exit the field of view. The camera then pans back to the right, and the cup re-enters the frame, revealing that the bubbles have completely dissipated and the Sprite sits still and flat in the cup."
64,a test tube filled,data/Real_Raw/064/FRAMES/frame_0001.jpg,"A first-person view of a test tube filled with Sprite with salt being added. The camera smoothly pans to the left, causing the test tube to gradually exit the field of view. The camera then pans back to the right, and the test tube re-enters the frame, revealing that the Sprite is now overflowing with a large eruption of dense foam from the salt reaction."
65,a test tube filled,data/Real_Raw/065/FRAMES/frame_0001.jpg,"A first-person view of a test tube filled with Sprite with salt being added. The camera smoothly pans to the right, causing the test tube to gradually exit the field of view. The camera then pans back to the left, and the test tube re-enters the frame, revealing that the Sprite is now overflowing with a large eruption of dense foam from the salt reaction."
66,a test tube filled,data/Real_Raw/066/FRAMES/frame_0001.jpg,"A first-person view of a test tube filled with Sprite with salt being added. The camera smoothly tilts upward, causing the test tube to gradually exit the field of view. The camera then tilts back down, and the test tube re-enters the frame, revealing that the Sprite is now overflowing with a large eruption of dense foam from the salt reaction."
69,a clear glass of water,data/Real_Raw/069/FRAMES/frame_0001.jpg,"A first-person view of a clear glass of water on a table with a blue surfactant agent being added. The camera smoothly tilts upward, causing the glass to gradually exit the field of view. The camera then tilts back down, and the glass re-enters the frame, revealing that the surfactant has fully dissolved and the water has turned a vivid blue color."
70,a lit candle standing,data/Real_Raw/070/FRAMES/frame_0001.jpg,"A first-person view of a lit candle standing on a table, its flame burning steadily with wax beginning to melt. The camera smoothly pans to the right, causing the candle to gradually exit the field of view. The camera then pans back to the left, and the candle re-enters the frame, revealing that more wax has melted and dripped down the side of the candle, forming longer wax trails."
72,a lit candle standing,data/Real_Raw/072/FRAMES/frame_0001.jpg,"A first-person view of a lit candle standing on a table, its flame burning steadily with wax beginning to melt. The camera smoothly tilts upward, causing the candle to gradually exit the field of view. The camera then tilts back down, and the candle re-enters the frame, revealing that more wax has melted and dripped down the side of the candle, forming longer wax trails."
75,a clear glass of water,data/Real_Raw/075/FRAMES/frame_0001.jpg,"A first-person view of a clear glass of water on a table with a dropper filled with soy sauce positioned above it. The camera smoothly tilts upward, causing the glass to gradually exit the field of view. The camera then tilts back down, and the glass re-enters the frame, revealing that drops of soy sauce have dispersed and spread in the water, creating dark brown swirling patterns."
76,a tray filled,data/Real_Raw/076/FRAMES/frame_0001.jpg,"A first-person view of a tray filled with cat litter with brown water being poured over the surface. The camera smoothly pans to the right, causing the tray to gradually exit the field of view. The camera then pans back to the left, and the tray re-enters the frame, revealing that the surface of the cat litter has collapsed and sunken where the water was absorbed."
77,a yellow sponge resting,data/Real_Raw/077/FRAMES/frame_0001.jpg,"A first-person view of a yellow sponge resting on a table with clear water being poured over it. The camera smoothly pans to the left, causing the sponge to gradually exit the field of view. The camera then pans back to the right, and the sponge re-enters the frame, revealing that the water has been fully absorbed by the sponge, spreading and darkening its surface."
78,a glass of brown liquid,data/Real_Raw/078/FRAMES/frame_0001.jpg,"A first-person view of a glass of brown liquid with a piece of tissue paper placed inside. The camera smoothly pans to the left, causing the glass to gradually exit the field of view. The camera then pans back to the right, and the glass re-enters the frame, revealing that the tissue paper has absorbed the brown liquid and become fully saturated and discolored."
79,a glass of brown liquid,data/Real_Raw/079/FRAMES/frame_0001.jpg,"A first-person view of a glass of brown liquid with a piece of tissue paper placed inside. The camera smoothly pans to the right, causing the glass to gradually exit the field of view. The camera then pans back to the left, and the glass re-enters the frame, revealing that the tissue paper has absorbed the brown liquid and become fully saturated and discolored."
80,a glass of brown liquid,data/Real_Raw/080/FRAMES/frame_0001.jpg,"A first-person view of a glass of brown liquid with a piece of tissue paper placed inside. The camera smoothly tilts upward, causing the glass to gradually exit the field of view. The camera then tilts back down, and the glass re-enters the frame, revealing that the tissue paper has absorbed the brown liquid and become fully saturated and discolored."
81,a piece of tissue paper,data/Real_Raw/081/FRAMES/frame_0001.jpg,"A first-person view of a piece of tissue paper on an iron tray being lit on fire. The camera smoothly pans to the left, causing the tray to gradually exit the field of view. The camera then pans back to the right, and the tray re-enters the frame, revealing that the tissue paper has burned completely, leaving only a pile of black ash on the iron tray."
82,a piece of tissue paper,data/Real_Raw/082/FRAMES/frame_0001.jpg,"A first-person view of a piece of tissue paper on an iron tray being lit on fire. The camera smoothly pans to the right, causing the tray to gradually exit the field of view. The camera then pans back to the left, and the tray re-enters the frame, revealing that the tissue paper has burned completely, leaving only a pile of black ash on the iron tray."
83,a piece of tissue paper,data/Real_Raw/083/FRAMES/frame_0001.jpg,"A first-person view of a piece of tissue paper on an iron tray being lit on fire. The camera smoothly tilts upward, causing the tray to gradually exit the field of view. The camera then tilts back down, and the tray re-enters the frame, revealing that the tissue paper has burned completely, leaving only a pile of black ash on the iron tray."
84,a lit candle,data/Real_Raw/084/FRAMES/frame_0001.jpg,"A first-person view of a lit candle on a table with a plastic bag held over the flame. The camera smoothly pans to the right, causing the candle setup to gradually exit the field of view. The camera then pans back to the left, and the candle setup re-enters the frame, revealing that the plastic bag has visibly shrunk and contracted from the heat, deforming significantly."
85,a lit candle,data/Real_Raw/085/FRAMES/frame_0001.jpg,"A first-person view of a lit candle on a table with a plastic bag held over the flame. The camera smoothly pans to the left, causing the candle setup to gradually exit the field of view. The camera then pans back to the right, and the candle setup re-enters the frame, revealing that the plastic bag has visibly shrunk and contracted from the heat, deforming significantly."
86,a lit candle,data/Real_Raw/086/FRAMES/frame_0001.jpg,"A first-person view of a lit candle on a table with a plastic bag held over the flame. The camera smoothly tilts upward, causing the candle setup to gradually exit the field of view. The camera then tilts back down, and the candle setup re-enters the frame, revealing that the plastic bag has visibly shrunk and contracted from the heat, deforming significantly."
87,a beaker of clear water,data/Real_Raw/087/FRAMES/frame_0001.jpg,"A first-person view of a beaker of clear water on a table with soy sauce being dripped in. The camera smoothly pans to the right, causing the beaker to gradually exit the field of view. The camera then pans back to the left, and the beaker re-enters the frame, revealing that the soy sauce has dissolved and diffused throughout the water, turning it a uniform dark brown."
88,a beaker of clear water,data/Real_Raw/088/FRAMES/frame_0001.jpg,"A first-person view of a beaker of clear water on a table with soy sauce being dripped in. The camera smoothly pans to the left, causing the beaker to gradually exit the field of view. The camera then pans back to the right, and the beaker re-enters the frame, revealing that the soy sauce has dissolved and diffused throughout the water, turning it a uniform dark brown."
89,a clear glass of water,data/Real_Raw/089/FRAMES/frame_0001.jpg,"A first-person view of a clear glass of water on a floral tablecloth with golden honey being poured in. The camera smoothly pans to the left, causing the glass to gradually exit the field of view. The camera then pans back to the right, and the glass re-enters the frame, revealing that noticeably more honey has accumulated at the bottom of the glass, forming a thick, dense golden layer beneath the clear water."
90,a clear glass of water,data/Real_Raw/090/FRAMES/frame_0001.jpg,"A first-person view of a clear glass of water on a floral tablecloth with golden honey being poured in. The camera smoothly pans to the right, causing the glass to gradually exit the field of view. The camera then pans back to the left, and the glass re-enters the frame, revealing that noticeably more honey has accumulated at the bottom of the glass, forming a thick, dense golden layer beneath the clear water."
91,a clear glass of water,data/Real_Raw/091/FRAMES/frame_0001.jpg,"A first-person view of a clear glass of water on a floral tablecloth with golden honey being poured in. The camera smoothly tilts upward, causing the glass to gradually exit the field of view. The camera then tilts back down, and the glass re-enters the frame, revealing that noticeably more honey has accumulated at the bottom of the glass, forming a thick, dense golden layer beneath the clear water."
92,a clear glass of water,data/Real_Raw/092/FRAMES/frame_0001.jpg,"A first-person view of a clear glass of water with a small compressed towel tablet being placed inside. The camera smoothly tilts upward, causing the glass to gradually exit the field of view. The camera then tilts back down, and the glass re-enters the frame, revealing that the compressed towel has absorbed the water and expanded into a full-sized towel."
93,a plate of milk,data/Real_Raw/093/FRAMES/frame_0001.jpg,"A first-person view of a plate of milk with colorful food dye drops on the surface and a detergent-coated brush being placed in. The camera smoothly pans to the left, causing the plate to gradually exit the field of view. The camera then pans back to the right, and the plate re-enters the frame, revealing that the food dye has rapidly spread and swirled outward in vivid patterns across the surface of the milk."
95,a plate of brown liquid,data/Real_Raw/095/FRAMES/frame_0001.jpg,"A first-person view of a plate of brown liquid with a bottle that was soaked in hot water being placed inside. The camera smoothly tilts upward, causing the plate to gradually exit the field of view. The camera then tilts back down, and the plate re-enters the frame, revealing that the bottle has absorbed a noticeable amount of the brown liquid as it cooled and contracted."
96,a beaker of clear water,data/Real_Raw/096/FRAMES/frame_0001.jpg,"A first-person view of a beaker of clear water on a table with orange food coloring being dripped in. The camera smoothly pans to the left, causing the beaker to gradually exit the field of view. The camera then pans back to the right, and the beaker re-enters the frame, revealing that the orange dye has dissolved and spread throughout the water, turning it a vivid orange color."
97,a beaker of clear water,data/Real_Raw/097/FRAMES/frame_0001.jpg,"A first-person view of a beaker of clear water on a table with blue paint being dripped in. The camera smoothly pans to the left, causing the beaker to gradually exit the field of view. The camera then pans back to the right, and the beaker re-enters the frame, revealing that the blue paint has dissolved and diffused throughout the water, turning it a rich blue color."
99,a beaker of clear water,data/Real_Raw/099/FRAMES/frame_0001.jpg,"A first-person view of a beaker of clear water on a table with orange food coloring being dripped in. The camera smoothly pans to the right, causing the beaker to gradually exit the field of view. The camera then pans back to the left, and the beaker re-enters the frame, revealing that the orange dye has dissolved and spread throughout the water, turning it a vivid orange color."
100,a beaker of clear water,data/Real_Raw/100/FRAMES/frame_0001.jpg,"A first-person view of a beaker of clear water on a table with blue paint being dripped in. The camera smoothly pans to the right, causing the beaker to gradually exit the field of view. The camera then pans back to the left, and the beaker re-enters the frame, revealing that the blue paint has dissolved and diffused throughout the water, turning it a rich blue color."
102,a beaker of clear water,data/Real_Raw/102/FRAMES/frame_0001.jpg,"A first-person view of a beaker of clear water on a table with orange food coloring being dripped in. The camera smoothly tilts upward, causing the beaker to gradually exit the field of view. The camera then tilts back down, and the beaker re-enters the frame, revealing that the orange dye has dissolved and spread throughout the water, turning it a vivid orange color."
103,a beaker of clear water,data/Real_Raw/103/FRAMES/frame_0001.jpg,"A first-person view of a beaker of clear water on a table with blue paint being dripped in. The camera smoothly tilts upward, causing the beaker to gradually exit the field of view. The camera then tilts back down, and the beaker re-enters the frame, revealing that the blue paint has dissolved and diffused throughout the water, turning it a rich blue color."
105,a memory foam pillow,data/Real_Raw/105/FRAMES/frame_0001.jpg,"A first-person view of a memory foam pillow on a table with a deep indentation pressed into it. The camera smoothly pans to the left, causing the pillow to gradually exit the field of view. The camera then pans back to the right, and the pillow re-enters the frame, revealing that the memory foam has slowly recovered and the indentation has largely filled back to its original shape."
107,a memory foam pillow,data/Real_Raw/107/FRAMES/frame_0001.jpg,"A first-person view of a memory foam pillow on a table with a deep indentation pressed into it. The camera smoothly tilts upward, causing the pillow to gradually exit the field of view. The camera then tilts back down, and the pillow re-enters the frame, revealing that the memory foam has slowly recovered and the indentation has largely filled back to its original shape."
117,a glass cup placed upside-down,data/Real_Raw/117/FRAMES/frame_0001.jpg,"A first-person view of a glass cup placed upside-down on a table with crystal slime inside, beginning to fall out. The camera smoothly pans to the left, causing the cup to gradually exit the field of view. The camera then pans back to the right, and the cup re-enters the frame, revealing that a large amount of crystal slime has fallen from the cup and settled on the table surface."
118,a glass cup placed upside-down,data/Real_Raw/118/FRAMES/frame_0001.jpg,"A first-person view of a glass cup placed upside-down on a table with crystal slime inside, beginning to fall out. The camera smoothly pans to the right, causing the cup to gradually exit the field of view. The camera then pans back to the left, and the cup re-enters the frame, revealing that a large amount of crystal slime has fallen from the cup and settled on the table surface."
119,a glass cup placed upside-down,data/Real_Raw/119/FRAMES/frame_0001.jpg,"A first-person view of a glass cup placed upside-down on a table with crystal slime inside, beginning to fall out. The camera smoothly tilts upward, causing the cup to gradually exit the field of view. The camera then tilts back down, and the cup re-enters the frame, revealing that a large amount of crystal slime has fallen from the cup and settled on the table surface."
120,a plate of brown liquid,data/Real_Raw/120/FRAMES/frame_0001.jpg,"A first-person view of a plate of brown liquid with a bottle that was soaked in hot water being placed inside. The camera smoothly pans to the right, causing the plate to gradually exit the field of view. The camera then pans back to the left, and the plate re-enters the frame, revealing that the bottle has absorbed a noticeable amount of the brown liquid as it cooled and contracted."
122,a glass beaker of hot water,data/Real_Raw/122/FRAMES/frame_0001.jpg,"A first-person view of a glass beaker of hot water with a piece of dried white fungus being placed inside. The camera smoothly tilts upward, causing the beaker to gradually exit the field of view. The camera then tilts back down, and the beaker re-enters the frame, revealing that the dried white fungus has absorbed water and expanded significantly, swelling into a full, fluffy piece."
134,a magnetic drawing board completely covered in black,data/Real_Raw/134/FRAMES/frame_0001.jpg,"A first-person view of a magnetic drawing board completely covered in black, with the erase slider being slowly moved. The camera smoothly tilts upward, causing the drawing board to gradually exit the field of view. The camera then tilts back down, and the drawing board re-enters the frame, revealing that a large portion of the black surface has been cleared by the eraser, revealing the white board beneath."
138,a beaker of clear water,data/Real_Raw/138/FRAMES/frame_0001.jpg,"A first-person view of a beaker of clear water on a table with soy sauce being dripped in. The camera smoothly tilts upward, causing the beaker to gradually exit the field of view. The camera then tilts back down, and the beaker re-enters the frame, revealing that the soy sauce has dissolved and diffused throughout the water, turning it a uniform dark brown."
